id_user;id_app;points;comentary;down_date
1;32;2;These were the two sides of it, and talking over its head. 'Very uncomfortable for the fan and a.;2015-11-19
1;129;9;Alice, and she tried to get through the doorway;2015-11-20
3;79;4;"Mock Turtle sang this, very slowly and sadly:-- '""Will you walk a little girl she'll think me for.";2015-11-21
3;110;2;Alice. 'Come on, then!' roared the Queen, stamping on the second thing is to find that she might.;2015-11-22
7;72;7;Mouse, sharply and very angrily. 'A knot!' said Alice, (she had kept a piece of evidence we've.;2015-11-23
7;78;0;null;2015-11-24
8;30;0;null;2015-11-25
8;64;0;null;2015-11-26
8;81;4;null;2015-11-27
8;138;10;null;2015-11-28
9;82;5;null;2015-11-29
9;140;3;null;2015-11-30
10;25;9;null;2015-12-01
10;74;1;null;2015-12-02
11;4;9;null;2015-12-03
11;66;2;null;2015-12-04
12;77;10;null;2015-12-05
12;143;3;null;2015-12-06
13;92;10;null;2015-12-07
15;94;6;null;2015-12-08
20;98;8;null;2015-12-09
20;110;6;null;2015-12-10
20;120;5;null;2015-12-11
21;90;6;null;2015-12-12
21;105;5;null;2015-12-13
22;133;6;null;2015-12-14
23;20;2;null;2015-12-15
23;87;1;null;2015-12-16
24;54;3;null;2015-12-17
26;19;8;null;2015-12-18
26;75;9;null;2015-12-19
26;89;8;null;2015-12-20
26;139;5;null;2015-12-21
27;34;6;null;2015-12-22
28;34;9;null;2015-12-23
29;32;5;null;2015-12-24
30;41;8;null;2015-12-25
31;13;1;null;2015-12-26
31;64;9;null;2015-12-27
32;15;3;null;2015-12-28
32;102;9;null;2015-12-29
33;25;9;null;2015-12-30
33;57;5;null;2015-12-31
33;63;2;null;2016-01-01
33;141;5;null;2016-01-02
34;98;8;null;2016-01-03
34;127;5;null;2016-01-04
35;33;5;null;2016-01-05
35;67;4;null;2016-01-06
35;68;8;null;2016-01-07
35;124;6;null;2016-01-08
35;135;6;null;2016-01-09
36;126;2;null;2016-01-10
37;28;6;null;2016-01-11
37;62;2;null;2016-01-12
37;122;10;null;2016-01-13
38;125;8;null;2016-01-14
39;33;1;null;2016-01-15
39;68;7;null;2016-01-16
39;103;3;null;2016-01-17
40;106;7;null;2016-01-18
42;56;9;null;2016-01-19
42;112;8;null;2016-01-20
43;56;2;null;2016-01-21
43;68;5;null;2016-01-22
44;77;7;null;2016-01-23
44;126;7;null;2016-01-24
45;40;4;null;2016-01-25
45;100;6;null;2016-01-26
45;132;7;null;2016-01-27
46;7;3;null;2016-01-28
46;143;1;null;2016-01-29
47;41;6;null;2016-01-30
47;86;4;null;2016-01-31
50;48;6;null;2016-02-01
51;13;10;null;2016-02-02
51;35;1;null;2016-02-03
52;4;8;null;2016-02-04
52;99;4;null;2016-02-05
54;96;7;null;2016-02-06
56;29;10;null;2016-02-07
56;107;2;null;2016-02-08
56;118;5;null;2016-02-09
56;138;2;null;2016-02-10
58;89;1;null;2016-02-11
59;40;1;null;2016-02-12
60;49;6;null;2016-02-13
61;65;10;null;2016-02-14
61;72;3;null;2016-02-15
61;79;4;null;2016-02-16
62;1;1;null;2016-02-17
62;93;8;null;2016-02-18
63;2;9;null;2016-02-19
63;9;7;null;2016-02-20
63;32;3;null;2016-02-21
63;138;3;null;2016-02-22
64;62;1;null;2016-02-23
64;65;2;null;2016-02-24
65;45;1;null;2016-02-25
66;5;3;null;2016-02-26
66;8;2;null;2016-02-27
66;119;9;null;2016-02-28
67;48;4;null;2016-02-29
69;58;2;null;2016-03-01
69;127;7;null;2016-03-02
70;12;3;null;2016-03-03
70;47;3;null;2016-03-04
71;7;5;null;2016-03-05
71;23;4;null;2016-03-06
71;125;10;null;2016-03-07
71;133;5;null;2016-03-08
73;75;3;null;2016-03-09
73;139;9;null;2016-03-10
74;138;1;null;2016-03-11
75;55;9;null;2016-03-12
76;40;2;null;2016-03-13
77;35;10;null;2016-03-14
78;70;3;null;2016-03-15
78;95;10;null;2016-03-16
78;131;6;null;2016-03-17
79;36;8;null;2016-03-18
79;40;6;null;2016-03-19
79;90;5;null;2016-03-20
80;137;6;null;2016-03-21
82;3;5;null;2016-03-22
82;110;6;null;2016-03-23
82;141;2;null;2016-03-24
83;11;1;null;2016-03-25
83;57;3;null;2016-03-26
84;148;8;null;2016-03-27
85;60;9;null;2016-03-28
85;117;8;null;2016-03-29
86;53;5;null;2016-03-30
86;138;6;null;2016-03-31
87;23;9;null;2016-04-01
87;51;5;null;2016-04-02
87;101;8;null;2016-04-03
88;146;1;null;2016-04-04
89;108;9;null;2016-04-05
90;80;3;null;2016-04-06
91;104;9;null;2016-04-07
92;98;9;null;2016-04-08
93;142;5;null;2016-04-09
94;131;2;null;2016-04-10
98;123;5;null;2016-04-11
99;89;8;null;2016-04-12
100;86;5;null;2016-04-13
100;122;5;null;2016-04-14
101;65;4;null;2016-04-15
102;4;8;null;2016-04-16
102;26;6;null;2016-04-17
102;150;6;null;2016-04-18
103;31;2;null;2016-04-19
104;69;6;null;2016-04-20
104;92;2;null;2016-04-21
104;100;10;null;2016-04-22
105;52;8;null;2016-04-23
106;34;1;null;2016-04-24
106;59;7;null;2016-04-25
109;30;3;null;2016-04-26
109;77;7;null;2016-04-27
109;90;9;null;2016-04-28
109;130;8;null;2016-04-29
110;61;2;null;2016-04-30
112;28;5;null;2016-05-01
112;75;7;null;2016-05-02
113;53;7;null;2016-05-03
113;127;4;null;2016-05-04
115;93;6;null;2016-05-05
117;129;7;null;2016-05-06
119;62;3;null;2016-05-07
119;150;1;null;2016-05-08
121;41;6;null;2016-05-09
124;43;4;null;2016-05-10
127;87;6;null;2016-05-11
128;125;10;null;2016-05-12
128;136;1;null;2016-05-13
129;58;8;null;2016-05-14
129;92;4;null;2016-05-15
129;105;7;null;2016-05-16
129;149;10;null;2016-05-17
131;51;2;null;2016-05-18
132;36;5;null;2016-05-19
132;85;2;null;2016-05-20
133;119;1;null;2016-05-21
134;6;1;null;2016-05-22
134;23;6;null;2016-05-23
134;66;10;null;2016-05-24
134;125;3;null;2016-05-25
134;133;4;null;2016-05-26
135;105;1;null;2016-05-27
135;113;0;null;2016-05-28
135;146;0;null;2016-05-29
137;30;0;null;2016-05-30
138;46;0;null;2016-05-31
139;102;0;null;2016-06-01
140;31;0;null;2016-06-02
140;105;0;null;2016-06-03
140;106;0;null;2016-06-04
140;133;0;null;2016-06-05
141;46;0;null;2016-06-06
141;63;0;null;2016-06-07
142;14;0;null;2016-06-08
143;26;0;null;2016-06-09
143;56;7;null;2016-06-10
145;123;3;null;2016-06-11
146;114;3;null;2016-06-12
148;37;5;null;2016-06-13
149;83;4;null;2016-06-14
149;127;10;null;2016-06-15
149;149;5;null;2016-06-16
150;27;3;null;2016-06-17
151;88;9;null;2016-06-18
151;128;1;null;2016-06-19
151;143;9;null;2016-06-20
152;31;2;null;2016-06-21
152;43;10;null;2016-06-22
152;52;3;null;2016-06-23
152;141;10;null;2016-06-24
153;29;6;null;2016-06-25
153;88;8;null;2016-06-26
155;9;6;null;2016-06-27
155;18;5;null;2016-06-28
155;34;6;null;2016-06-29
155;113;5;null;2016-06-30
156;112;6;null;2016-07-01
156;125;2;null;2016-07-02
156;133;1;null;2016-07-03
157;4;3;null;2016-07-04
157;63;8;null;2016-07-05
157;101;9;null;2016-07-06
157;119;8;null;2016-07-07
159;24;5;null;2016-07-08
159;31;6;null;2016-07-09
159;90;9;null;2016-07-10
159;131;5;null;2016-07-11
160;27;8;null;2016-07-12
160;88;1;null;2016-07-13
161;3;9;null;2016-07-14
161;25;3;null;2016-07-15
161;112;9;null;2016-07-16
161;138;9;null;2016-07-17
162;35;5;null;2016-07-18
162;80;2;null;2016-07-19
162;122;5;null;2016-07-20
163;102;8;null;2016-07-21
164;19;5;null;2016-07-22
166;31;5;null;2016-07-23
167;33;4;null;2016-07-24
169;68;8;null;2016-07-25
171;130;6;null;2016-07-26
171;132;6;null;2016-07-27
172;38;2;null;2016-07-28
172;41;6;null;2016-07-29
175;4;2;null;2016-07-30
176;14;10;null;2016-07-31
176;92;8;null;2016-08-01
176;106;1;null;2016-08-02
178;21;7;null;2016-08-03
178;86;3;null;2016-08-04
178;115;7;null;2016-08-05
178;119;9;null;2016-08-06
179;27;8;null;2016-08-07
180;12;2;null;2016-08-08
180;79;5;null;2016-08-09
180;91;7;null;2016-08-10
181;20;7;null;2016-08-11
183;130;4;null;2016-08-12
184;33;6;null;2016-08-13
184;48;7;null;2016-08-14
185;58;3;null;2016-08-15
186;118;1;null;2016-08-16
187;53;6;null;2016-08-17
187;84;4;null;2016-08-18
188;55;6;null;2016-08-19
190;72;10;null;2016-08-20
191;10;1;null;2016-08-21
191;68;8;null;2016-08-22
192;32;4;null;2016-08-23
193;53;7;null;2016-08-24
193;76;10;null;2016-08-25
193;125;2;null;2016-08-26
195;8;5;null;2016-08-27
195;57;2;null;2016-08-28
195;67;1;null;2016-08-29
200;48;1;null;2016-08-30
200;66;6;null;2016-08-31
200;84;10;null;2016-09-01
201;111;3;null;2016-09-02
202;91;4;null;2016-09-03
202;136;1;null;2016-09-04
203;111;8;null;2016-09-05
204;20;9;null;2016-09-06
204;47;7;null;2016-09-07
205;53;3;null;2016-09-08
207;26;3;null;2016-09-09
207;119;1;null;2016-09-10
207;132;2;null;2016-09-11
208;132;1;null;2016-09-12
208;142;3;null;2016-09-13
211;128;2;null;2016-09-14
212;8;9;null;2016-09-15
212;22;4;null;2016-09-16
212;106;2;null;2016-09-17
212;110;7;null;2016-09-18
213;60;3;null;2016-09-19
213;62;3;null;2016-09-20
213;145;0;null;2016-09-21
215;23;0;null;2016-09-22
216;148;0;null;2016-09-23
217;148;0;null;2016-09-24
218;100;0;null;2016-09-25
219;26;0;null;2016-09-26
219;42;0;null;2016-09-27
