"77"	[102, -1150]
"78"	[97, 20000]
"7A"	[180, 44615]
"7J"	[301, 76180]
"7K"	[186, 48210]
"7Q"	[96, 24070]
"87"	[107, 25805]
"88"	[93, -1445]
"8A"	[215, 56600]
"8J"	[317, 76310]
"8K"	[220, 56320]
"8Q"	[100, 26125]
"A7"	[101, 23660]
"A8"	[107, 26860]
"AA"	[210, 1855]
"AJ"	[282, 70030]
"AK"	[197, 51310]
"AQ"	[113, 28515]
"J7"	[183, 47185]
"J8"	[192, 46710]
"JA"	[377, 92885]
"JJ"	[613, -1520]
"JK"	[397, 100105]
"JQ"	[214, 55820]
"K7"	[302, 78015]
"K8"	[313, 79635]
"KA"	[628, 157460]
"KJ"	[888, 223710]
"KK"	[582, -2200]
"KQ"	[310, 80310]
"Q7"	[196, 49940]
"Q8"	[183, 45480]
"QA"	[393, 98250]
"QJ"	[644, 168360]
"QK"	[370, 98295]
"QQ"	[191, -6545]
