Frecuencias de nombres masculinos;;;
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018;;;
;;;
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.;;;
(*) Edad media de las personas que tienen ese nombre a nivel nacional.;;;
;;;
Orden;Nombre;Frecuencia;Edad Media (*)
1;ANTONIO;678.425 ;55,9
2;JOSE;594.144 ;61,1
3;MANUEL;590.965 ;54,9
4;FRANCISCO;498.934 ;57,4
5;DAVID;365.196 ;30,5
6;JUAN;346.867 ;55,7
7;JOSE ANTONIO;310.134 ;49,6
8;JAVIER;306.504 ;33,0
9;DANIEL;296.281 ;27,0
10;JOSE LUIS;293.564 ;53,3
11;FRANCISCO JAVIER;287.711 ;44,7
12;CARLOS;278.752 ;38,8
13;JESUS;277.718 ;48,5
14;ALEJANDRO;259.146 ;25,5
15;MIGUEL;248.110 ;46,5
16;JOSE MANUEL;242.609 ;47,2
17;RAFAEL;236.539 ;50,6
18;MIGUEL ANGEL;227.734 ;43,6
19;PEDRO;225.485 ;53,5
20;ANGEL;220.709 ;50,1
21;PABLO;217.351 ;27,1
22;JOSE MARIA;208.379 ;53,9
23;SERGIO;206.458 ;28,2
24;FERNANDO;204.544 ;48,7
25;LUIS;194.269 ;52,1
26;JORGE;192.771 ;34,1
27;ALBERTO;179.750 ;36,8
28;JUAN CARLOS;160.280 ;45,5
29;ALVARO;158.234 ;21,9
30;JUAN JOSE;153.954 ;48,5
31;ADRIAN;152.686 ;18,9
32;DIEGO;152.093 ;32,0
33;RAUL;140.247 ;31,2
34;JUAN ANTONIO;134.403 ;48,9
35;IVAN;133.802 ;25,0
36;ENRIQUE;129.768 ;49,7
37;RUBEN;128.001 ;27,1
38;RAMON;123.519 ;57,5
39;OSCAR;122.779 ;33,9
40;VICENTE;119.868 ;58,7
41;ANDRES;116.783 ;47,1
42;JUAN MANUEL;113.435 ;45,9
43;JOAQUIN;112.731 ;53,9
44;SANTIAGO;110.475 ;47,7
45;EDUARDO;106.338 ;44,5
46;VICTOR;105.637 ;30,1
47;MARIO;102.081 ;24,3
48;ROBERTO;98.104 ;39,9
49;JAIME;96.831 ;40,8
50;FRANCISCO JOSE;95.613 ;41,6
51;MARCOS;91.332 ;24,7
52;IGNACIO;90.289 ;39,4
53;ALFONSO;84.766 ;50,8
54;JORDI;83.140 ;39,3
55;RICARDO;81.780 ;48,7
56;SALVADOR;81.422 ;53,3
57;HUGO;78.563 ;10,1
58;EMILIO;73.361 ;56,7
59;GUILLERMO;72.396 ;33,5
60;GABRIEL;70.858 ;36,7
61;MARC;68.818 ;20,0
62;JULIO;67.800 ;54,3
63;JULIAN;67.554 ;56,6
64;GONZALO;66.129 ;30,9
65;JOSE MIGUEL;65.149 ;44,9
66;TOMAS;65.083 ;53,5
67;MOHAMED;63.191 ;34,9
68;AGUSTIN;63.140 ;55,9
69;MARTIN;59.178 ;28,9
70;JOSE RAMON;58.886 ;52,4
71;NICOLAS;57.378 ;29,0
72;FELIX;56.551 ;57,9
73;JOAN;55.904 ;41,5
74;ISMAEL;55.580 ;28,9
75;CRISTIAN;54.193 ;23,2
76;SAMUEL;53.894 ;20,5
77;AITOR;50.686 ;22,3
78;HECTOR;47.518 ;20,9
79;JUAN FRANCISCO;47.478 ;45,6
80;JOSEP;46.262 ;53,4
81;MARIANO;45.437 ;60,3
82;LUCAS;45.261 ;14,8
83;JOSE CARLOS;45.149 ;43,1
84;IKER;45.100 ;13,9
85;DOMINGO;44.740 ;61,1
86;SEBASTIAN;43.823 ;49,8
87;ALFREDO;43.661 ;52,8
88;ALEX;43.055 ;13,3
89;CESAR;43.017 ;39,5
90;FELIPE;40.923 ;54,1
91;JOSE ANGEL;40.867 ;44,2
92;JOSE IGNACIO;39.678 ;49,3
93;VICTOR MANUEL;39.380 ;39,8
94;RODRIGO;37.746 ;22,3
95;LUIS MIGUEL;37.078 ;43,2
96;JOSE FRANCISCO;34.692 ;47,9
97;JUAN LUIS;34.321 ;46,9
98;GREGORIO;34.100 ;61,4
99;XAVIER;34.057 ;33,8
100;ALBERT;33.925 ;33,3
101;MATEO;31.972 ;19,6
102;LORENZO;31.837 ;54,6
103;PAU;30.820 ;16,0
104;ESTEBAN;30.736 ;50,5
105;ANTONIO JOSE;30.677 ;42,4
106;CRISTOBAL;30.513 ;52,7
107;BORJA;30.092 ;25,2
108;ARTURO;29.805 ;43,4
109;AARON;29.056 ;14,1
110;EUGENIO;27.935 ;60,3
111;JOSE JAVIER;27.737 ;45,2
112;ERIC;27.174 ;13,9
113;JUAN MIGUEL;27.095 ;44,9
114;ANTONIO JESUS;26.770 ;36,4
115;ISAAC;26.745 ;30,0
116;JESUS MARIA;26.413 ;54,1
117;FRANCISCO MANUEL;26.130 ;41,0
118;JOEL;25.933 ;14,5
119;JAUME;25.909 ;45,5
120;IZAN;25.850 ;7,1
121;ASIER;25.569 ;20,5
122;MOHAMMED;25.202 ;37,4
123;GERMAN;25.003 ;44,0
124;VALENTIN;24.301 ;54,9
125;ABEL;24.294 ;31,7
126;JONATHAN;24.248 ;26,3
127;PEDRO JOSE;24.226 ;45,2
128;JOSE VICENTE;23.809 ;49,7
129;DARIO;23.216 ;17,9
130;MIKEL;23.172 ;25,6
131;UNAI;22.932 ;17,0
132;MOISES;22.878 ;37,2
133;SERGI;22.795 ;23,5
134;CHRISTIAN;22.406 ;22,4
135;JUAN RAMON;22.242 ;49,7
136;AHMED;22.144 ;42,6
137;ADOLFO;21.815 ;55,2
138;JUAN PEDRO;21.574 ;46,8
139;BRUNO;21.509 ;17,7
140;IÑIGO;21.352 ;30,8
141;MANUEL JESUS;21.146 ;39,2
142;GERARD;20.760 ;20,0
143;JON;20.574 ;24,3
144;POL;20.299 ;13,6
145;ISIDRO;20.205 ;58,3
146;ERNESTO;20.142 ;50,1
147;BENITO;20.065 ;62,0
148;OMAR;19.816 ;25,9
149;MARCO;19.793 ;14,7
150;MIQUEL;19.629 ;39,1
151;BERNARDO;19.489 ;56,3
152;ISRAEL;19.444 ;30,5
153;GERARDO;19.312 ;54,5
154;ARNAU;19.284 ;14,3
155;ORIOL;19.227 ;21,4
156;ANTONIO MANUEL;19.179 ;41,3
157;CARMELO;18.826 ;57,3
158;ELOY;18.457 ;38,2
159;JONATAN;18.321 ;29,6
160;FEDERICO;18.245 ;53,9
161;FRANCESC;17.999 ;46,2
162;PASCUAL;17.962 ;59,2
163;JESUS MANUEL;17.410 ;45,6
164;JOSE ALBERTO;17.363 ;43,1
165;JUAN JESUS;16.780 ;43,2
166;ADAM;16.709 ;8,7
167;LEO;16.593 ;4,3
168;LUIS ALBERTO;16.561 ;44,4
169;BARTOLOME;16.358 ;59,4
170;ADRIA;16.338 ;17,0
171;JOSEP MARIA;16.259 ;56,8
172;ROGER;16.007 ;23,9
173;IÑAKI;15.953 ;37,0
174;ALONSO;15.767 ;30,9
175;MARCELINO;15.756 ;63,7
176;ELIAS;15.702 ;40,6
177;KEVIN;15.628 ;17,8
178;PERE;15.516 ;50,3
179;BENJAMIN;15.506 ;49,4
180;FERMIN;15.450 ;57,6
181;CARLES;15.360 ;36,1
182;LLUIS;15.129 ;46,4
183;MATIAS;15.019 ;43,3
184;PEDRO ANTONIO;14.983 ;47,8
185;ANTONI;14.976 ;47,5
186;JUAN PABLO;14.801 ;36,6
187;MARTI;14.644 ;17,5
188;GUILLEM;14.636 ;19,2
189;JOSE ENRIQUE;14.590 ;47,1
190;AURELIO;14.509 ;62,0
191;OLIVER;14.466 ;15,2
192;MARCO ANTONIO;14.449 ;38,5
193;SAUL;14.431 ;17,9
194;ANDER;14.402 ;19,2
195;ANGEL LUIS;14.276 ;47,6
196;CARLOS ALBERTO;13.979 ;43,1
197;ALEXANDER;13.922 ;26,6
198;JUAN IGNACIO;13.903 ;47,3
199;ERIK;13.808 ;11,0
200;FRANCISCO JESUS;13.571 ;37,8
201;ABRAHAM;13.354 ;23,5
202;YOUSSEF;13.337 ;23,6
203;JACINTO;13.287 ;61,8
204;EUSEBIO;13.206 ;62,9
205;XABIER;13.129 ;26,2
206;JERONIMO;13.111 ;54,8
207;GORKA;12.921 ;27,4
208;ROMAN;12.803 ;45,5
209;VICTORIANO;12.757 ;64,0
210;FERRAN;12.740 ;28,5
211;ALEIX;12.661 ;15,4
212;JOSE JUAN;12.658 ;48,7
213;GUSTAVO;12.656 ;41,8
214;SAID;12.654 ;39,6
215;MANUEL ANGEL;12.589 ;48,2
216;LUIS FERNANDO;12.374 ;46,7
217;JULEN;12.295 ;16,0
218;DAMIAN;12.222 ;40,0
219;LUIS MANUEL;12.187 ;44,3
220;ISIDORO;12.053 ;61,7
221;CARLOS JAVIER;12.029 ;40,8
222;LEONARDO;11.777 ;40,4
223;ENRIC;11.763 ;41,3
224;YERAY;11.722 ;16,2
225;JUAN BAUTISTA;11.712 ;57,0
226;PEDRO LUIS;11.651 ;49,4
227;BLAS;11.649 ;57,8
228;ARMANDO;11.628 ;52,0
229;TEODORO;11.590 ;64,7
230;DIONISIO;11.516 ;63,3
231;RACHID;11.503 ;38,7
232;JOSE DAVID;11.373 ;32,2
233;CANDIDO;11.300 ;62,8
234;SANTOS;11.284 ;59,6
235;JUSTO;11.254 ;62,1
236;GINES;11.190 ;52,8
237;FLORENCIO;11.148 ;65,1
238;JAN;11.019 ;12,1
239;JOSE JOAQUIN;11.019 ;48,5
240;EDUARD;10.854 ;33,9
241;JUAN MARIA;10.813 ;53,2
242;ENEKO;10.357 ;18,8
243;EMILIANO;10.355 ;62,4
244;JAIRO;10.341 ;21,6
245;ALI;10.257 ;34,6
246;FRANCISCO ANTONIO;10.243 ;46,7
247;SERAFIN;10.101 ;60,9
248;EDGAR;10.039 ;22,9
249;EMILIO JOSE;9.922 ;37,8
250;FAUSTINO;9.848 ;63,7
251;JOSE ANDRES;9.847 ;45,9
252;MAXIMO;9.806 ;54,5
253;JULIO CESAR;9.768 ;44,1
254;JESUS ANGEL;9.705 ;47,9
255;LUIS ANTONIO;9.695 ;49,5
256;ENZO;9.692 ;4,3
257;MUSTAPHA;9.592 ;42,0
258;LUIS MARIA;9.562 ;55,8
259;SIMON;9.486 ;40,7
260;LUIS ANGEL;9.481 ;47,3
261;FIDEL;9.439 ;58,2
262;IAN;9.344 ;10,7
263;RAMIRO;9.309 ;57,3
264;AMADOR;9.232 ;59,4
265;BIEL;9.225 ;7,7
266;CLAUDIO;9.155 ;53,4
267;IGOR;9.059 ;35,4
268;JACOBO;8.976 ;28,2
269;ALEXIS;8.952 ;25,4
270;ROGELIO;8.882 ;60,0
271;EZEQUIEL;8.819 ;34,5
272;NIL;8.799 ;9,9
273;ALEXANDRE;8.798 ;29,4
274;FRANCISCO MIGUEL;8.790 ;42,7
275;MANUEL ANTONIO;8.776 ;49,5
276;PEDRO MANUEL;8.643 ;45,2
277;LUCIANO;8.549 ;60,6
278;ION;8.536 ;40,9
279;ANDREU;8.445 ;29,9
280;JOSE FERNANDO;8.319 ;48,9
281;JUAN DIOS;8.272 ;49,7
282;JOAQUIM;8.270 ;50,4
283;ILDEFONSO;8.215 ;58,6
284;HASSAN;8.209 ;41,8
285;YAGO;8.206 ;13,0
286;MODESTO;8.177 ;63,5
287;JUAN DIEGO;8.102 ;33,6
288;FLORENTINO;8.081 ;65,7
289;JOSE DANIEL;8.045 ;35,9
290;JUAN VICENTE;8.037 ;49,8
291;MANUEL JOSE;7.898 ;49,0
292;CARLOS MANUEL;7.825 ;42,6
293;ANTONIO JAVIER;7.808 ;40,2
294;LEANDRO;7.768 ;49,1
295;JUAN ANDRES;7.734 ;44,7
296;ANTONIO MIGUEL;7.719 ;44,5
297;PAULINO;7.690 ;63,3
298;JORGE LUIS;7.635 ;42,1
299;ANTONIO LUIS;7.607 ;47,1
300;IBAI;7.591 ;14,0
301;CAYETANO;7.587 ;44,6
302;LUIS JAVIER;7.563 ;45,8
303;CONSTANTINO;7.541 ;60,7
304;AVELINO;7.455 ;64,5
305;JOSUE;7.444 ;26,3
306;ELADIO;7.441 ;62,6
307;CELESTINO;7.434 ;63,9
308;MAURO;7.420 ;20,6
309;PEDRO MARIA;7.357 ;57,8
310;LUIS CARLOS;7.324 ;46,3
311;PEDRO JESUS;7.324 ;41,9
312;IAGO;7.314 ;16,0
