Orden;Nombre;Frecuencia;Edad media
1;MARIA CARMEN;656.276 ;57,0
2;MARIA;606.048 ;48,6
3;CARMEN;391.563 ;60,4
4;JOSEFA;276.682 ;68,0
5;ANA MARIA;273.319 ;51,2
6;ISABEL;266.967 ;57,4
7;MARIA PILAR;263.141 ;57,0
8;MARIA DOLORES;259.216 ;56,6
9;LAURA;256.381 ;28,4
10;MARIA TERESA;251.492 ;57,1
11;ANA;250.124 ;43,9
12;CRISTINA;228.428 ;33,7
13;MARIA ANGELES;226.047 ;55,4
14;MARTA;225.323 ;29,3
15;FRANCISCA;213.820 ;64,9
16;ANTONIA;207.597 ;64,7
17;MARIA ISABEL;204.354 ;52,8
18;MARIA JOSE;203.283 ;46,1
19;LUCIA;202.562 ;23,2
20;DOLORES;197.778 ;67,0
21;SARA;168.249 ;24,5
22;PAULA;167.316 ;19,9
23;ELENA;160.928 ;36,7
24;MARIA LUISA;160.565 ;60,9
25;PILAR;148.458 ;63,5
26;RAQUEL;148.078 ;36,0
27;ROSA MARIA;147.358 ;52,1
28;CONCEPCION;146.781 ;65,6
29;MANUELA;143.899 ;60,8
30;MERCEDES;139.164 ;61,1
31;MARIA JESUS;138.550 ;55,3
32;BEATRIZ;123.445 ;37,2
33;JULIA;123.424 ;40,3
34;ROSARIO;121.533 ;63,8
35;NURIA;120.936 ;37,9
36;JUANA;120.773 ;65,8
37;SILVIA;120.104 ;35,9
38;TERESA;119.528 ;62,0
39;ENCARNACION;116.497 ;63,2
40;IRENE;116.010 ;26,4
41;ALBA;114.813 ;16,5
42;PATRICIA;111.930 ;31,5
43;MONTSERRAT;110.522 ;54,3
44;ANDREA;107.416 ;22,4
45;ROCIO;106.773 ;29,0
46;ROSA;104.025 ;64,8
47;MONICA;103.047 ;37,5
48;ALICIA;99.812 ;38,5
49;MARIA MAR;99.539 ;43,4
50;ANGELA;98.075 ;44,5
51;SONIA;97.934 ;37,1
52;SANDRA;97.642 ;29,1
53;MARINA;96.834 ;32,5
54;SUSANA;95.677 ;42,0
55;NATALIA;92.811 ;28,0
56;YOLANDA;92.102 ;42,6
57;MARGARITA;90.039 ;59,9
58;MARIA JOSEFA;87.610 ;62,1
59;CLAUDIA;80.104 ;16,1
60;EVA;79.928 ;32,6
61;MARIA ROSARIO;79.579 ;58,5
62;INMACULADA;78.818 ;44,0
63;MARIA MERCEDES;77.019 ;54,8
64;ANA ISABEL;76.174 ;43,2
65;ESTHER;75.234 ;41,3
66;CARLA;74.705 ;12,7
67;SOFIA;74.544 ;18,9
68;NOELIA;73.554 ;27,7
69;VERONICA;71.479 ;33,3
70;ANGELES;68.402 ;65,8
71;NEREA;65.884 ;18,2
72;CAROLINA;65.717 ;32,8
73;MARIA VICTORIA;63.555 ;52,3
74;EVA MARIA;62.966 ;41,1
75;MARIA ROSA;62.712 ;61,0
76;MIRIAM;61.954 ;26,8
77;INES;61.920 ;35,3
78;LORENA;61.581 ;28,1
79;AMPARO;60.743 ;64,5
80;ANA BELEN;60.549 ;37,7
81;MARIA CONCEPCION;60.544 ;61,7
82;MARIA ELENA;60.057 ;49,4
83;VICTORIA;59.631 ;47,2
84;DANIELA;59.116 ;13,6
85;MARIA ANTONIA;56.500 ;59,6
86;CATALINA;55.011 ;60,7
87;LIDIA;53.291 ;34,0
88;CONSUELO;52.692 ;66,8
89;MARIA NIEVES;52.303 ;56,4
90;CELIA;51.979 ;33,5
91;ALEJANDRA;51.380 ;23,6
92;MARTINA;50.379 ;16,4
93;OLGA;49.950 ;45,0
94;GLORIA;48.710 ;54,0
95;EMILIA;48.588 ;65,7
96;AINHOA;48.522 ;17,9
97;LUISA;47.580 ;65,9
98;FATIMA;47.431 ;36,4
99;MARIA SOLEDAD;46.992 ;55,8
100;AURORA;46.600 ;58,8
101;MARIA CRISTINA;46.535 ;48,9
102;CLARA;46.150 ;29,0
103;ESPERANZA;45.423 ;59,9
104;MILAGROS;44.412 ;63,1
105;VIRGINIA;44.301 ;40,2
106;VANESA;43.827 ;33,5
107;JOSEFINA;43.731 ;67,5
108;ANNA;43.676 ;30,6
109;MARIA LUZ;43.107 ;58,3
110;ADRIANA;41.724 ;18,6
111;LOURDES;41.377 ;47,3
112;PURIFICACION;40.981 ;64,8
113;BLANCA;40.265 ;28,4
114;MARIA BELEN;38.797 ;46,2
115;BEGOÑA;38.454 ;48,2
116;ISABEL MARIA;38.434 ;42,4
117;ESTEFANIA;38.071 ;31,3
118;ELISA;36.558 ;48,7
119;MARIA BEGOÑA;36.430 ;56,8
120;GEMA;35.975 ;34,8
121;MARIA ASUNCION;35.587 ;59,8
122;MAGDALENA;35.300 ;61,8
123;MARIA PAZ;34.529 ;57,2
124;BELEN;34.322 ;33,7
125;MARIA LOURDES;34.320 ;54,5
126;ARACELI;34.309 ;57,5
127;LAIA;33.843 ;15,5
128;MARIA ESTHER;33.772 ;52,7
129;MATILDE;33.563 ;65,5
130;ASUNCION;33.359 ;66,5
131;TAMARA;33.101 ;29,2
132;REMEDIOS;32.933 ;63,9
133;VICENTA;32.839 ;70,9
134;EMMA;32.365 ;15,4
135;VALERIA;32.339 ;8,7
136;ELVIRA;32.098 ;60,1
137;TRINIDAD;31.768 ;65,6
138;SOLEDAD;31.700 ;59,8
139;REBECA;31.161 ;29,7
140;PALOMA;31.100 ;38,7
141;NATIVIDAD;31.073 ;64,1
142;GEMMA;31.054 ;37,4
143;VANESSA;30.674 ;33,6
144;MIREIA;30.560 ;25,1
145;ALMUDENA;30.450 ;34,5
146;MARIA INMACULADA;29.810 ;48,6
147;MARIA CRUZ;29.766 ;59,3
148;ARIADNA;29.473 ;13,3
149;NOA;29.306 ;6,5
150;NOEMI;29.200 ;29,9
151;ASCENSION;29.056 ;65,8
152;MARIA AMPARO;27.970 ;53,6
153;TANIA;27.740 ;26,3
154;AITANA;27.649 ;9,4
155;NIEVES;27.465 ;60,9
156;CARLOTA;27.386 ;17,1
157;MARIA EUGENIA;27.332 ;48,9
158;RAFAELA;27.191 ;64,5
159;FELISA;27.116 ;71,9
160;ADELA;26.746 ;60,3
161;VALENTINA;26.649 ;30,9
162;DIANA;26.155 ;27,1
163;JESSICA;25.944 ;28,2
164;LEIRE;25.620 ;16,8
165;AMALIA;25.026 ;59,7
166;AMELIA;24.892 ;60,9
167;JUANA MARIA;24.874 ;52,1
168;MARIA ROCIO;24.757 ;40,9
169;CARMEN MARIA;24.508 ;36,6
170;AINARA;24.140 ;14,4
171;RAMONA;22.851 ;68,5
172;LARA;22.664 ;17,7
173;LEONOR;22.568 ;59,2
174;ELISABET;21.871 ;34,6
175;JOAQUINA;21.854 ;68,3
176;LETICIA;21.656 ;31,5
177;BARBARA;21.496 ;39,3
178;MARIANA;21.122 ;47,4
