Orden;Nombre;Frecuencia;Edad Media;sexo
22287;AADEL;22;30.9;H
9237;AADIL;67;32.8;H
14261;AALI;39;37.7;H
10871;AALIYAH;52;7.4;M
24601;AALTJE;20;69.2;M
19012;AAMAR;27;32.6;H
16264;AAMER;33;31.1;H
4281;AAMIR;177;32.3;H
22288;AARAB;22;47.0;H
19553;AARAV;26;3.2;H
109;AARON;29056;14.1;H
21508;AARON ALBERTO;23;21.1;H
8599;AARON ALEJANDRO;73;12.7;H
11376;AARON ALEXANDER;52;9.1;H
18520;AARON ANDRES;28;12.9;H
12492;AARON ANTONIO;46;17.9;H
8185;AARON DANIEL;78;11.8;H
4776;AARON DAVID;152;15.3;H
18521;AARON EDUARDO;28;18.0;H
20834;AARON ENRIQUE;24;17.3;H
20835;AARON FERNANDO;24;17.5;H
12974;AARON FRANCISCO;44;16.0;H
10871;AARON GABRIEL;55;8.9;H
17059;AARON ISAAC;31;13.4;H
24005;AARON ISMAEL;20;12.8;H
10872;AARON JAVIER;55;15.8;H
4642;AARON JESUS;158;20.5;H
23120;AARON JOEL;21;10.9;H
4316;AARON JOSE;175;17.2;H
12297;AARON JOSUE;47;18.5;H
6459;AARON MANUEL;105;19.0;H
10703;AARON MIGUEL;56;19.7;H
14870;AARON MOISES;37;20.6;H
12975;AARON NICOLAS;44;10.5;H
24006;AARON PAUL;20;21.3;H
17060;AARON RAFAEL;31;19.1;H
20836;AARON SANTIAGO;24;14.5;H
22289;AARON SEBASTIAN;22;8.2;H
20380;AATIKA;25;38.7;M
6781;AAYA;94;8.4;M
24007;AAYAN;20;5.0;H
24008;ABA;20;29.9;H
6917;ABABACAR;97;34.4;H
17061;ABAD;31;53.0;H
24602;ABARNE;20;31.7;M
11202;ABASS;53;33.7;H
12725;ABASSE;45;38.4;H
9238;ABBA;67;33.0;H
3139;ABBAS;264;39.6;H
23121;ABBASS;21;45.3;H
5814;ABBES;120;48.0;H
7696;ABBY;80;7.3;M
15540;ABDALA;35;39.0;H
14262;ABDALAH;39;17.2;H
13199;ABDALAHE;43;38.1;H
14871;ABDALAHI;37;26.1;H
16635;ABDALLA;32;36.8;H
1515;ABDALLAH;718;42.4;H
11037;ABDALLAHI;54;33.5;H
22290;ABDATI;22;38.7;H
24009;ABDEDDAIM;20;34.6;H
12493;ABDEL;46;34.4;H
7923;ABDEL ALI;81;33.7;H
10235;ABDEL AZIZ;59;37.1;H
14872;ABDEL HAKIM;37;25.8;H
12494;ABDEL HAMID;46;42.5;H
4473;ABDEL ILAH;167;37.4;H
11900;ABDEL ILLAH;49;43.0;H
21509;ABDEL JALIL;23;22.2;H
19554;ABDEL KADER;26;31.6;H
7507;ABDEL KARIM;87;20.9;H
4317;ABDEL LAH;175;39.8;H
18010;ABDEL MAJID;29;35.0;H
24010;ABDEL MALEK;20;18.9;H
21510;ABDEL MOUNAIM;23;29.1;H
13995;ABDEL RAHMAN;40;16.9;H
6460;ABDELAALI;105;37.9;H
19013;ABDELAATI;27;35.3;H
2924;ABDELAAZIZ;290;40.4;H
5815;ABDELADIM;120;29.9;H
5941;ABDELAH;117;29.8;H
16636;ABDELAKRIM;32;40.8;H
767;ABDELALI;1908;35.7;H
10873;ABDELASIS;55;48.3;H
7648;ABDELATI;85;36.2;H
3128;ABDELATIF;265;39.3;H
20169;ABDELAZIS;25;44.2;H
381;ABDELAZIZ;5283;42.8;H
19555;ABDELAZIZE;26;39.3;H
9468;ABDELBAKI;65;42.0;H
12071;ABDELBARI;48;24.5;H
7649;ABDELBASSET;85;18.3;H
16265;ABDELDJALIL;33;27.1;H
9469;ABDELELAH;65;38.8;H
24011;ABDELFADIL;20;44.6;H
4490;ABDELFATAH;166;35.6;H
1996;ABDELFATTAH;496;36.9;H
16266;ABDELFETAH;33;38.2;H
3521;ABDELFETTAH;228;38.4;H
22291;ABDELGANI;22;38.4;H
3024;ABDELGHAFOUR;278;31.6;H
776;ABDELGHANI;1869;37.4;H
18522;ABDELGHNI;28;34.4;H
10549;ABDELHABIB;57;40.3;H
933;ABDELHADI;1431;39.5;H
1063;ABDELHAFID;1187;39.5;H
21511;ABDELHAI;23;36.1;H
779;ABDELHAK;1853;38.9;H
15883;ABDELHAKEM;34;39.8;H
1082;ABDELHAKIM;1155;35.0;H
19556;ABDELHALAK;26;49.8;H
2720;ABDELHALIM;319;33.7;H
10704;ABDELHAMED;56;43.6;H
853;ABDELHAMID;1627;42.0;H
17062;ABDELHANIN;31;35.9;H
23122;ABDELHANINE;21;33.0;H
3804;ABDELHAQ;207;36.4;H
3260;ABDELHAY;251;37.7;H
23123;ABDELHILA;21;44.1;H
18011;ABDELHILAH;29;36.8;H
619;ABDELILAH;2558;34.7;H
3036;ABDELILLAH;277;36.4;H
9816;ABDELJABAR;62;35.2;H
6100;ABDELJABBAR;113;36.9;H
21512;ABDELJALAK;23;52.1;H
17522;ABDELJALAL;30;29.4;H
1810;ABDELJALIL;568;35.3;H
21513;ABDELJAOUAD;23;40.2;H
13714;ABDELJEBBAR;41;42.8;H
3846;ABDELKABIR;204;37.0;H
348;ABDELKADER;6086;46.3;H
12976;ABDELKADIR;44;34.2;H
14873;ABDELKAMAL;37;34.3;H
22292;ABDELKAMEL;22;39.3;H
673;ABDELKARIM;2289;34.8;H
23124;ABDELKARIN;21;44.5;H
4755;ABDELKBIR;153;39.7;H
4044;ABDELKEBIR;191;41.7;H
18012;ABDELKERIM;29;41.2;H
3234;ABDELKHALAK;253;44.3;H
1877;ABDELKHALEK;539;38.8;H
13200;ABDELKHALEQ;43;36.3;H
12298;ABDELKHALIK;47;44.3;H
770;ABDELKRIM;1890;43.5;H
334;ABDELLAH;6482;40.2;H
9817;ABDELLAHI;62;40.0;H
14874;ABDELLALI;37;39.2;H
599;ABDELLATIF;2653;40.5;H
4756;ABDELLAZIZ;153;45.1;H
20170;ABDELLILAH;25;38.4;H
7858;ABDELMADJID;82;42.0;H
795;ABDELMAJID;1814;41.8;H
24012;ABDELMALAK;20;40.8;H
1462;ABDELMALEK;753;42.0;H
1988;ABDELMALIK;500;43.8;H
