Código,Nombre de la subdivisión en la ISO1,Comunidad autónoma
ES-C,A Coruña,GA
ES-VI,Araba,PV
ES-AB,Albacete,CM
ES-A,Alicante/Alacant,VC
ES-AL,Almería,AN
ES-O,Asturias,AS
ES-AV,Ávila,CL
ES-BA,Badajoz,EX
ES-PM,Balear,IB
ES-B,Barcelona,CT
ES-BI,Bizkaia (Vizcaya),PV
ES-BU,Burgos,CL
ES-CC,Cáceres,EX
ES-CA,Cádiz,AN
ES-S,Cantabria,CB
ES-CS,Castellón/Cas,VC
ES-CR,Ciudad Real,CM
ES-CO,Córdoba,AN
ES-CU,Cuenca,CM
ES-SS,Gipuzkoa (Guipúzcoa),PV
ES-GI,Girona (Gerona),CT
ES-GR,Granada,AN
ES-GU,Guadalajara,CM
ES-H,Huelva,AN
ES-HU,Huesca,AR
ES-J,Jaén,AN
ES-LO,La Rioja,RI
ES-GC,Las Palmas,CN
ES-LE,León,CL
ES-L,Lleida (Lérida),CT
ES-LU,Lugo (Lugo),GA
ES-M,Madrid,MD
ES-MA,Málaga,AN
ES-MU,Murcia,MC
ES-NA,Navarra/Nafarroa,NC
ES-OR,Ourens,GA
ES-P,Palencia,CL
ES-PO,Pontevedra,GA
ES-SA,Salamanca,CL
ES-TF,Santa Cruz de Tenerife,CN
ES-SG,Segovia,CL
ES-SE,Sevilla,AN
ES-SO,Soria,CL
ES-T,Tarragona,CT
ES-TE,Teruel,AR
ES-TO,Toledo,CM
ES-V,Valencia,VC
ES-VA,Valladolid,CL
ES-ZA,Zamora,CL
ES-Z,Zaragoza,AR
